IncGeo_BoroughName,ResponseTimeBinary,inner,Latitude,Longitude
WALTHAM FOREST,0,0,51.575563,-0.02367
WALTHAM FOREST,1,0,51.5781556,-0.024209
WALTHAM FOREST,1,0,51.579158,-0.023515
WALTHAM FOREST,1,0,51.5792403275,-0.0230497051
WALTHAM FOREST,1,0,51.5787464472,-0.023451116
WALTHAM FOREST,1,0,51.580056,-0.023476
WALTHAM FOREST,0,0,51.5832528,-0.023584
WALTHAM FOREST,0,0,51.588144,-0.023125
WALTHAM FOREST,0,0,51.591738,-0.022968
WALTHAM FOREST,0,0,51.593535,-0.02289
WALTHAM FOREST,0,0,51.593535,-0.02289
WALTHAM FOREST,0,0,51.593535,-0.02289
WALTHAM FOREST,0,0,51.596231,-0.022773
WALTHAM FOREST,1,0,51.6073608368,-0.022017872
WALTHAM FOREST,1,0,51.6074281782,-0.0220590642
WALTHAM FOREST,1,0,51.6075414828,-0.0216761871
WALTHAM FOREST,1,0,51.6083381,-0.022563
WALTHAM FOREST,1,0,51.608811,-0.022227
WALTHAM FOREST,1,0,51.615101,-0.021953
WALTHAM FOREST,0,0,51.615101,-0.021953
WALTHAM FOREST,0,0,51.6164229056,-0.0215754118
WALTHAM FOREST,1,0,51.6164183,-0.0215518
WALTHAM FOREST,0,0,51.6167230762,-0.0224257354
WALTHAM FOREST,0,0,51.616899,-0.021875
WALTHAM FOREST,0,0,51.616899,-0.021875
WALTHAM FOREST,1,0,51.616899,-0.021875
WALTHAM FOREST,0,0,51.621392,-0.02168
WALTHAM FOREST,1,0,51.621392,-0.02168
WALTHAM FOREST,1,0,51.623189,-0.021602
WALTHAM FOREST,0,0,51.623189,-0.021602
ENFIELD,1,0,51.667219,-0.019684
ENFIELD,1,0,51.669017,-0.019605
ENFIELD,1,0,51.675088,-0.019546
ENFIELD,1,0,51.6767694488,-0.0199244581
CROYDON,0,0,51.3573687116,-0.0321864577
CROYDON,0,0,51.3579289225,-0.0318131279
CROYDON,1,0,51.367958,-0.031186
CROYDON,1,0,51.369756,-0.031109
CROYDON,1,0,51.3717278464,-0.0310708905
CROYDON,1,0,51.374249,-0.030916
BROMLEY,1,0,51.3818074,-0.0306651
BROMLEY,1,0,51.3971645853,-0.0292823971
BROMLEY,0,0,51.3981741536,-0.0305281471
BROMLEY,0,0,51.4036194354,-0.0292685311
BROMLEY,0,0,51.405980329,-0.029310974
BROMLEY,0,0,51.408397,-0.029449
